epoch,train_loss,val_loss,track_24h_km,track_48h_km,track_72h_km,wind_mae_kt,ri_f1,lr,elapsed_s
1,3742.91776,1186.176608,625.57,627.37,642.71,23.94,0.0,0.0005,4.4
2,1059.754938,1126.846685,615.64,599.92,620.22,23.27,0.0,0.0005,8.9
3,978.181212,757.633506,325.03,341.47,383.92,20.43,0.0,0.0005,13.4
4,782.428976,684.234272,218.62,247.15,305.72,20.95,0.0,0.0005,17.9
5,702.849314,538.116239,247.3,265.3,325.34,14.13,0.0,0.0005,22.4
6,599.909915,415.482966,173.31,214.31,282.09,10.07,0.0,0.0005,27.1
7,566.324525,410.595157,167.2,216.81,290.78,9.34,0.0,0.0005,31.7
8,554.420298,418.128805,212.69,224.66,287.2,8.68,0.0,0.0005,36.5
9,545.662492,465.798603,225.43,282.69,357.68,8.9,0.0,0.0005,41.3
10,541.330468,396.271069,166.79,211.95,282.33,8.81,0.0,0.0005,46.2
11,534.639776,396.619165,174.53,218.4,284.19,8.67,0.0,0.0005,51.0
12,531.9063,413.783801,169.79,235.57,318.17,9.18,0.0,0.0005,55.9
13,526.08278,381.694967,151.49,204.21,276.53,9.02,0.0,0.0005,60.7
14,529.384509,428.470514,189.69,243.18,323.28,8.48,0.0,0.0005,65.7
15,519.597158,418.111843,201.24,222.59,292.19,9.01,0.0,0.0005,71.1
16,515.216286,400.274239,175.05,216.02,281.72,9.06,0.0,0.0005,76.4
17,510.310549,396.726137,170.1,207.99,278.75,9.17,0.0,0.0005,81.2
18,506.792926,444.892798,230.7,259.5,311.59,9.54,0.0,0.0005,86.0
19,505.756438,444.846779,216.08,258.89,325.23,9.78,0.0,0.00025,90.9
20,491.289554,393.76299,150.49,203.41,268.95,9.81,0.0,0.00025,95.6
21,483.003223,402.264519,168.15,208.92,274.18,9.9,0.0,0.00025,100.7
22,480.274623,388.209844,144.75,205.24,279.32,9.56,0.0,0.00025,105.7
23,480.757734,416.390182,172.24,215.19,288.17,10.11,0.0,0.00025,110.6
24,475.369845,422.138718,178.96,221.13,285.89,9.99,0.0,0.00025,116.1
25,470.723523,404.841657,147.26,197.51,274.26,9.87,0.0,0.000125,121.4
26,461.736092,404.768846,140.21,197.63,273.71,10.3,0.0,0.000125,130.4
27,464.561235,411.347991,155.11,212.68,290.44,9.84,0.0,0.000125,141.6
28,462.431205,403.098903,144.55,198.06,271.39,10.23,0.0,0.000125,152.3
29,460.819272,399.939837,142.32,199.78,273.32,9.98,0.0,0.000125,156.9
30,463.813612,400.330537,143.36,193.01,267.34,10.23,0.0,0.000125,161.7
31,465.566858,413.412211,148.23,207.97,286.58,10.34,0.0,6.25e-05,166.5
32,450.740195,395.495477,138.37,194.68,271.15,9.94,0.0,6.25e-05,171.3
33,454.118582,397.506094,135.61,192.84,268.08,10.19,0.0,6.25e-05,176.2
